,point,cell,grid,lat,lon,zscore(2021-6),zscore(2021-7),smad(2021-6),smad(2021-7)
0,4838920,1395,Fibonacci (6.25 km),47.34447860717773,10.382990837097168,-0.8766115399707762,1.3521587242256894,-0.9447154173584343,1.2524016097696504
1,4841504,1395,Fibonacci (6.25 km),47.37745666503906,10.320685386657717,-0.5492124792146579,1.6115151919253268,-0.47711049869053596,1.1591039493283624
2,4843101,1395,Fibonacci (6.25 km),47.39785003662109,10.421497344970703,-0.7218116948935674,1.469407771824257,-0.6252087775848116,1.0419693721346206
3,4844088,1395,Fibonacci (6.25 km),47.410457611083984,10.258379936218262,-0.4285902664735223,1.438613454834124,-0.18653620215519537,0.9418927048964658
4,4845685,1395,Fibonacci (6.25 km),47.43086242675781,10.35919189453125,-0.5271565170403683,1.3751891070822142,-0.1861459733632331,1.0052426964134824
5,4846672,1395,Fibonacci (6.25 km),47.44347381591797,10.196074485778809,-0.27978513032842534,1.4872504555949988,-0.04506062136220693,0.9828447826834383
6,4847282,1395,Fibonacci (6.25 km),47.45127487182617,10.460004806518556,-0.965756239118844,1.16467985879122,-0.5638331477288994,0.7181587475452368
7,4848269,1395,Fibonacci (6.25 km),47.46389389038086,10.296887397766112,-0.057874811622202704,1.5053738664815584,0.0926232055443718,1.0199190090876384
8,4849256,1395,Fibonacci (6.25 km),47.47651672363281,10.133769989013672,-0.2924320342512662,1.2188092489720872,-0.08389021639549017,0.8674115329124233
9,4849866,1395,Fibonacci (6.25 km),47.484317779541016,10.397699356079102,-0.46797693160065984,1.3080575947636266,-0.2914782639077945,0.9237028022436785
